2026-03-31 13:45:47 | INFO | utils.logger | Run logger initialized at logs\run_20260331_134547.log
2026-03-31 13:45:47 | INFO | main | ==== New Scan Run Started ====
2026-03-31 13:45:47 | INFO | main | Log file: logs\run_20260331_134547.log
2026-03-31 13:45:47 | INFO | main | Configuration loaded from config/config.yaml
2026-03-31 13:45:47 | DEBUG | main | Runtime settings: har_path=data/input/local_lab.har timeout=15 proxy=False verify_ssl=True max_requests=20
2026-03-31 13:45:47 | INFO | main | Phase 1 start: HAR parsing and baseline replay
2026-03-31 13:45:47 | INFO | core.parser | Parsing HAR file: data/input/local_lab.har
2026-03-31 13:45:47 | DEBUG | core.parser | HAR entries total: 3
2026-03-31 13:45:47 | DEBUG | core.parser | Accepted API request: GET http://127.0.0.1:8000/api/v1/user/profile?uid=1001
2026-03-31 13:45:47 | DEBUG | core.parser | Accepted API request: GET http://127.0.0.1:8000/api/v1/order/detail?order_id=50001
2026-03-31 13:45:47 | DEBUG | core.parser | Accepted API request: GET http://127.0.0.1:8000/api/v1/admin/audit
2026-03-31 13:45:47 | INFO | core.parser | HAR parsing done: accepted_api_requests=3
2026-03-31 13:45:47 | INFO | main | Phase 1 parsed requests: 3
2026-03-31 13:45:47 | INFO | core.scanner | Baseline replay started: requests=3
2026-03-31 13:45:47 | DEBUG | core.scanner | Sending request: method=GET url=http://127.0.0.1:8000/api/v1/user/profile params={'uid': '1001'}
2026-03-31 13:45:47 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:8000
2026-03-31 13:45:47 | DEBUG | urllib3.connectionpool | http://127.0.0.1:8000 "GET /api/v1/user/profile?uid=1001 HTTP/1.1" 200 184
2026-03-31 13:45:47 | DEBUG | core.scanner | Baseline request #1 completed: status=200 len=184
2026-03-31 13:45:47 | INFO | core.scanner | Baseline replay finished: results=1
2026-03-31 13:45:47 | DEBUG | core.scanner | Sending request: method=GET url=http://127.0.0.1:8000/api/v1/order/detail params={'order_id': '50001'}
2026-03-31 13:45:47 | DEBUG | urllib3.connectionpool | Resetting dropped connection: 127.0.0.1
2026-03-31 13:45:47 | DEBUG | urllib3.connectionpool | http://127.0.0.1:8000 "GET /api/v1/order/detail?order_id=50001 HTTP/1.1" 200 100
2026-03-31 13:45:47 | DEBUG | core.scanner | Baseline request #2 completed: status=200 len=100
2026-03-31 13:45:47 | INFO | core.scanner | Baseline replay finished: results=2
2026-03-31 13:45:47 | DEBUG | core.scanner | Sending request: method=GET url=http://127.0.0.1:8000/api/v1/admin/audit params=None
2026-03-31 13:45:47 | DEBUG | urllib3.connectionpool | Resetting dropped connection: 127.0.0.1
2026-03-31 13:45:47 | DEBUG | urllib3.connectionpool | http://127.0.0.1:8000 "GET /api/v1/admin/audit HTTP/1.1" 200 140
2026-03-31 13:45:47 | DEBUG | core.scanner | Baseline request #3 completed: status=200 len=140
2026-03-31 13:45:47 | INFO | core.scanner | Baseline replay finished: results=3
2026-03-31 13:45:47 | INFO | main | Baseline replay completed: success=3 failed=0
2026-03-31 13:45:47 | INFO | main | Saved phase-1 output: data\output\phase1_replay_results.json
2026-03-31 13:45:47 | INFO | main | Phase 2 start: LLM payload generation
2026-03-31 13:45:47 | INFO | core.llm_agent | Batch payload generation for request_index=1
2026-03-31 13:45:47 | INFO | core.llm_agent | LLM payload generation start: method=GET url=http://127.0.0.1:8000/api/v1/user/profile?uid=1001 model=deepseek-chat max_payloads=5
2026-03-31 13:45:47 | DEBUG | core.llm_agent | LLM payload generation attempt=1/3
2026-03-31 13:45:48 | DEBUG | openai._base_client | Request options: {'method': 'post', 'url': '/chat/completions', 'files': None, 'idempotency_key': 'stainless-python-retry-af37e339-764a-4bb3-9a97-6bef4a8d4987', 'content': None, 'json_data': {'messages': [{'role': 'system', 'content': 'You are a senior red-team API security expert focused on Broken Access Control testing.\n\nTask:\nAnalyze one HTTP API request and generate mutation payloads for authorization bypass testing,\nespecially horizontal privilege escalation (IDOR) and vertical privilege escalation.\n\nRules:\n1. Output must be JSON only. Do not include markdown, explanation, or extra text.\n2. Output must be a JSON array.\n3. Each element must be an object with this schema:\n\t{\n\t  "name": "short-payload-name",\n\t  "query": {"optional": "query param overrides"},\n\t  "json_body": {"optional": "json body overrides"},\n\t  "form_body": {"optional": "form field overrides"},\n\t  "headers": {"optional": "header overrides"},\n\t  "reason": "short reason",\n\t  "mitigation": "targeted defensive recommendation for this endpoint"\n\t}\n4. Keep only fields that need overriding. Keep other keys empty objects.\n5. Focus on identity and privilege-related parameters, such as:\n\tid, user_id, uid, account_id, owner_id, username, role, tenant_id, org_id.\n6. Produce diverse mutations, such as:\n\t- Numeric ID increment/decrement\n\t- Replacing current user identifier with another user marker\n\t- Role escalation attempt (user -> admin)\n\t- Tenant or organization boundary crossover\n\t- Object ownership parameter swap\n7. The "mitigation" field must be defensive and specific, e.g. ownership validation, RBAC/ABAC checks, UUID usage, deny-by-default policy, audit alerts.\n\nSafety boundary:\nOnly produce payload suggestions for authorized security testing environments.'}, {'role': 'user', 'content': 'Target HTTP request (JSON):\n{\n  "method": "GET",\n  "url": "http://127.0.0.1:8000/api/v1/user/profile?uid=1001",\n  "headers": {\n    "Accept": "application/json",\n    "User-Agent": "LLM-API-Vuln-Scanner-Lab",\n    "Authorization": "Bearer user_A_token"\n  },\n  "query": {\n    "uid": "1001"\n  },\n  "json_body": null,\n  "form_body": null,\n  "body_text": ""\n}\n\nReturn exactly a JSON array with at most 5 payload objects.'}], 'model': 'deepseek-chat', 'temperature': 0.2}}
2026-03-31 13:45:48 | DEBUG | openai._base_client | Sending HTTP Request: POST https://api.deepseek.com/chat/completions
2026-03-31 13:45:48 | DEBUG | httpcore.connection | connect_tcp.started host='127.0.0.1' port=7897 local_address=None timeout=30 socket_options=None
2026-03-31 13:45:48 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x00000176DEE021E0>
2026-03-31 13:45:48 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'CONNECT']>
2026-03-31 13:45:48 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-03-31 13:45:48 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'CONNECT']>
2026-03-31 13:45:48 | DEBUG | httpcore.http11 | send_request_body.complete
2026-03-31 13:45:48 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'CONNECT']>
2026-03-31 13:45:48 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'Connection established', [])
2026-03-31 13:45:48 | DEBUG | httpcore.proxy | start_tls.started ssl_context=<ssl.SSLContext object at 0x00000176DE8E4250> server_hostname='api.deepseek.com' timeout=30
2026-03-31 13:45:48 | DEBUG | httpcore.proxy | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x00000176DEE023C0>
2026-03-31 13:45:48 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-03-31 13:45:48 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-03-31 13:45:48 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-03-31 13:45:48 | DEBUG | httpcore.http11 | send_request_body.complete
2026-03-31 13:45:48 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-03-31 13:45:48 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'openresty'), (b'Content-Type', b'application/json'), (b'vary', b'origin, access-control-request-method, access-control-request-headers'), (b'access-control-allow-credentials', b'true'), (b'x-ds-trace-id', b'accd62eba5a3884c5ad26cba551de29f'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'X-Content-Type-Options', b'nosniff'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Date', b'Tue, 31 Mar 2026 05:45:48 GMT'), (b'EO-LOG-UUID', b'5526084129843055818'), (b'EO-Cache-Status', b'MISS')])
2026-03-31 13:45:48 | INFO | httpx | HTTP Request: POST https://api.deepseek.com/chat/completions "HTTP/1.1 200 OK"
2026-03-31 13:45:48 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-03-31 13:46:01 | DEBUG | httpcore.http11 | receive_response_body.complete
2026-03-31 13:46:01 | DEBUG | httpcore.http11 | response_closed.started
2026-03-31 13:46:01 | DEBUG | httpcore.http11 | response_closed.complete
2026-03-31 13:46:01 | DEBUG | openai._base_client | HTTP Response: POST https://api.deepseek.com/chat/completions "200 OK" Headers({'server': 'openresty', 'content-type': 'application/json', 'vary': 'origin, access-control-request-method, access-control-request-headers', 'access-control-allow-credentials': 'true', 'x-ds-trace-id': 'accd62eba5a3884c5ad26cba551de29f', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload', 'x-content-type-options': 'nosniff', 'transfer-encoding': 'chunked', 'connection': 'keep-alive', 'date': 'Tue, 31 Mar 2026 05:45:48 GMT', 'eo-log-uuid': '5526084129843055818', 'eo-cache-status': 'MISS'})
2026-03-31 13:46:01 | DEBUG | openai._base_client | request_id: None
2026-03-31 13:46:01 | DEBUG | core.llm_agent | LLM raw payload response chars=1785
2026-03-31 13:46:01 | DEBUG | core.llm_agent | LLM payload response parsed directly as JSON
2026-03-31 13:46:01 | INFO | core.llm_agent | LLM payload generation success: method=GET url=http://127.0.0.1:8000/api/v1/user/profile?uid=1001 payload_count=5
2026-03-31 13:46:01 | INFO | core.llm_agent | Batch payload generation for request_index=2
2026-03-31 13:46:01 | INFO | core.llm_agent | LLM payload generation start: method=GET url=http://127.0.0.1:8000/api/v1/order/detail?order_id=50001 model=deepseek-chat max_payloads=5
2026-03-31 13:46:02 | DEBUG | core.llm_agent | LLM payload generation attempt=1/3
